Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
05410,CALIFORNIA,PLACER,"1,057.14","1,042.04","1,006.80","8,877.52"
05420,CALIFORNIA,PLUMAS,"1,117.82","1,101.05","1,061.93","8,877.52"
05430,CALIFORNIA,RIVERSIDE,"1,025.50","1,010.85",976.67,"8,877.52"
05440,CALIFORNIA,SACRAMENTO,"1,059.38","1,053.23",988.84,"8,877.52"
05450,CALIFORNIA,SAN BENITO,"1,131.92","1,114.94","1,075.32","8,877.52"
05460,CALIFORNIA,SAN BERNARDINO,"1,026.32",998.33,933.02,"8,877.52"
05470,CALIFORNIA,SAN DIEGO,"1,027.89","1,013.20",978.94,"8,877.52"
05480,CALIFORNIA,SAN FRANCISCO,"1,030.70","1,016.96",984.89,"8,877.52"
05490,CALIFORNIA,SAN JOAQUIN,"1,013.66",999.18,965.39,"8,877.52"
05500,CALIFORNIA,SAN LUIS OBISPO,973.62,973.62,973.62,"8,877.52"
05510,CALIFORNIA,SAN MATEO,"1,056.26","1,056.26","1,021.29","8,877.52"
05520,CALIFORNIA,SANTA BARBARA,"1,074.92","1,060.58","1,027.14","8,877.52"
05530,CALIFORNIA,SANTA CLARA,"1,086.56","1,070.66","1,033.56","8,877.52"
05540,CALIFORNIA,SANTA CRUZ,"1,051.41","1,036.03","1,000.13","8,877.52"
05550,CALIFORNIA,SHASTA,"1,016.43","1,001.18",965.61,"8,877.52"
05560,CALIFORNIA,SIERRA,"1,021.43","1,006.84",972.79,"8,877.52"
05570,CALIFORNIA,SISKIYOU,"1,060.64","1,045.48","1,010.13","8,877.52"
05580,CALIFORNIA,SOLANO,"1,093.30","1,077.68","1,041.24","8,877.52"
05590,CALIFORNIA,SONOMA,"1,066.74","1,066.74","1,036.63","8,877.52"
05600,CALIFORNIA,STANISLAUS,"1,097.31","1,069.29","1,003.92","8,877.52"
05610,CALIFORNIA,SUTTER,982.58,982.58,982.58,"8,877.52"
05620,CALIFORNIA,TEHAMA,"1,038.52","1,023.69",989.07,"8,877.52"
05630,CALIFORNIA,TRINITY,"1,059.82","1,044.31","1,008.12","8,877.52"
05640,CALIFORNIA,TULARE,"1,005.48",992.07,960.79,"8,877.52"
05650,CALIFORNIA,TUOLUMNE,"1,073.31","1,057.21","1,019.64","8,877.52"
05660,CALIFORNIA,VENTURA,"1,079.44","1,063.25","1,025.47","8,877.52"
05670,CALIFORNIA,YOLO,"1,063.07","1,063.07","1,006.68","8,877.52"
05680,CALIFORNIA,YUBA,"1,031.56","1,016.83",982.44,"8,877.52"
06000,COLORADO,ADAMS,"1,055.78","1,028.83",965.93,"7,171.87"
06010,COLORADO,ALAMOSA,977.20,977.20,977.20,"7,171.87"
06020,COLORADO,ARAPAHOE,"1,019.34","1,004.78",970.80,"7,171.87"
06030,COLORADO,ARCHULETA,"1,049.89","1,034.14",997.40,"7,171.87"
06040,COLORADO,BACA,"1,220.21","1,201.91","1,159.20","7,171.87"
06050,COLORADO,BENT,976.16,976.16,975.77,"7,171.87"
06060,COLORADO,BOULDER,"1,082.07","1,075.35","1,009.61","7,171.87"
06070,COLORADO,CHAFFEE,"1,048.42","1,048.42","1,014.63","7,171.87"
06080,COLORADO,CHEYENNE,"1,121.07","1,104.25","1,065.02","7,171.87"
06090,COLORADO,CLEAR CREEK,"1,066.28","1,052.52","1,020.42","7,171.87"
